shortForm	longForm
2dR	secondaires
5HT	Serotonine
A1At	alpha-1-antitrypsine (ou alphaAT ou AAT), glycoproteine produite dans le foie en circulation dans le sang (deficit : emphyseme pulm. ou maladie du foie)
AA	Anamnese
AA	affection actuelle
AAA	anevrisme de l'aorte ascendante / abdominale
AAA/3A	asthenie, anorexie, amaigrissement
AAD	accouchement a domicile
AAE	alveolite allergique extrinseque
AAG	appendice auriculaire gauche
AAI	ankle brachial index, ratio de pression systolique brachial
AAM/AMA	anticorps antimitochondries, recherche de cirrhose biliaire primitive
AAN/FAN	anticorps antinucleaires (maladies auto-immunes)
AAP	amputation abdomino-peritoneale
AAP	antiagregant plaquettaire
AAR	anti-arythmique
AAS	Aarskog-Scott syndrome,
AAS	Syndrome d'Aarskog-Scott
AAS	Test de provocation par l'acide acetylsalicylique en inhalation / per os
AAS / ASA	Acide acetylsalicylique
AASH	Adrenal androgen stimulating hormone,
AASH	Hormone surrenale androgene
AAT	Auricle - Auricle - Triggered,
AAT	Oreillette (stimulation) - Oreillette (detection) - Declenche (mode de fonctionnement)
AAT	alpha-1-antitrypsine
AATD	anevrisme de l'aorte thoracique descendante
AaV	Acherontia atropos virus,
AaV	Virus de l'Acherontia atropos
ABD	anemie de Blacfan-Diamond
ABI	ankle brachial index, ratio de pression systolique cheville
ABO	Systeme des groupes sanguins (antigenes A,B,O)
ABPA	aspergillose broncho-pulmonaire allergique
ABPX	absorptiometrie biphonique
ABVD	protocole polychimiotherapie : doxorubicine, bleomycine, vinblastine, dacarbazine
AC	Anticoagulation
AC	amnesie circonstancielle
AC	ante cibum, avant les repas
AC	arret cardiaque
ACA	Artere cerebrale anterieure
ACA	axe of correction of angulation, axe de correction de l'angle
ACAS	Asymptomatic carotid atherosclerosis stenosis, mesure des degres de stenose asymptomatique de carotide
ACC	accouchement
ACD	acidocetose diabetique
ACDD	auto-evaluation des comportements dopamine-dependants
ACDF	Anterior cervical discectomy and fusion,
ACDF	discectomie cervicale anterieure et fusion de vertebres (arthrodese)
ACE	Acute concussion evaluation,
ACE	Evaluation de commotion cerebrale
ACE	arriere cavite des epiploons (derriere l'estomac et devant le pancreas)
ACE / ACI	artere carotide externe / interne
ACE / CEA	antigene carcino-embryonnaire (marqueur tumoral),
ACE / CEA	carcinoembryonic antigen
ACFA	arythmie complete par fibrillation auriculaire
ACFL	acute on chronic liver failure, insuffisance hepatique aigue sur chronique
ACG	autocontrole de la glycemie
ACH	Atrophic cerebellar hypoplasia,
ACH	Hypoplasie/agenesie isolee cerebelleuse
ACI	Autologous chondrocyte implantation,
ACI	Implantation de chondrocytes autologues
ACIF	Anterior cervical interbody fusion,
ACIF	fusion de vertebres (arthrodese) cervicale par voie anterieure
ACL	anti-cardiolipine
ACLF	acute on chronie liver failure, insuffisance hepatique aigue sur chronique
ACLS	advanced cardiac life support, assistance cardiaque avancee
ACM	artere cerebrale moyenne
ACOD	anticoagulants oraux directs
ACOMI	arteriopathie obliterante des membres inferieurs
